Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_6.3x7.7,2,22u,
"C10, C11",0603,2,30p,
"C12, C9",0603,2,100n,
"C14, C15",0603,2,560p,
"C16, C21, C22, C23, C24, C25, C26, C3, C4, C5, C6, C7, C8",0603,13,1u,
"D1, D5",0603,2,LED_Small,
"D10, D12, D13, D14",LED SMD 8x7.3mm,4,LED,C5349974
"D11, D15, D4, D6, D9",D_SMA,5,SS34,
D3,D_SOD-123F,1,1N4007,
D7,SOT-23,1,PESD2CAN,
F1,0805,1,Polyfuse,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
"H5, H6, H7, H8",MountingHole_4.3mm_M4_Pad_Via,4,MountingHole_Pad,
J1,TE_1-776275-1,1,1-776280-1,
J2,PinHeader_1x06_P2.54mm_Vertical,1,SWD,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J4,HY2-0-8PWT,1,Conn_01x08,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J6, J7",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,I2C,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
"L1, L2, L3, L4",L_Chilisin_BMRF00101040,4,100u,
Q1,SOT-23,1,AO3400A,
"R10, R11, R14, R15, R16, R18, R19, R20, R22, R23, R24, R9",0603,12,R820,
"R12, R13, R17, R21, R26, R27, R8",0603,7,10k,
R2,0603,1,330,
R25,0603,1,36k,
R28,0603,1,3K3,
"R3, R5, R7",0603,3,100,
R4,0603,1,100k,
R6,0603,1,120,
"TP2, TP3, TP8",TestPoint_Pad_D2.0mm,3,TestPoint,
"TP4, TP5",TestPoint_Pad_D1.0mm,2,TestPoint,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD1050D,
U3,SOT-89-3,1,MCP1700x-500xxMB,
"U4, U5, U6, U8",SOT-89-5,4,PT4115,
U7,TO-252-2,1,TPS7B88-Q1,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8M,
