Designator,Mid X,Mid Y,Rotation,Layer
C1,105.9,-109.25,0.0,bottom
C10,127.6375,-136.462501,270.0,bottom
C11,119.6375,-136.462501,270.0,bottom
C12,130.0,-106.6,180.0,bottom
C14,123.8,-154.9,180.0,bottom
C15,130.199999,-154.9,0.0,bottom
C16,128.4,-143.0,0.0,bottom
C2,90.7,-131.8525,180.0,bottom
C21,117.9,-147.6,90.0,bottom
C22,121.5,-144.5,180.0,bottom
C23,140.6,-111.8,0.0,bottom
C24,140.6,-128.8,0.0,bottom
C25,140.575,-94.8,0.0,bottom
C26,140.6,-145.8,0.0,bottom
C3,92.25,-144.75,0.0,bottom
C4,117.4,-130.8,270.0,bottom
C5,116.5,-123.0,270.0,bottom
C6,126.237499,-119.1625,0.0,bottom
C7,128.5,-130.0,180.0,bottom
C8,125.6,-132.4125,0.0,bottom
C9,120.8375,-132.4,180.0,bottom
D1,99.4625,-113.65,180.0,bottom
D10,154.0,-95.5,90.0,top
D11,141.4,-92.0,180.0,bottom
D12,154.0,-112.5,90.0,top
D13,154.0,-129.5,90.0,top
D14,154.0,-146.5,90.0,top
D15,141.4,-126.0,180.0,bottom
D3,91.0,-119.999999,270.0,bottom
D4,94.25,-120.0,90.0,bottom
D5,117.012499,-119.6,180.0,bottom
D6,141.4,-143.0,180.0,bottom
D7,128.662499,-158.0,0.0,bottom
D9,141.400001,-109.05,180.0,bottom
F1,94.25,-114.0,270.0,bottom
J1,429.75,-113.5,90.0,bottom
J2,113.19,-158.0,270.0,bottom
J3,89.005,-158.0,90.0,bottom
J4,116.3,-106.5,90.0,bottom
J5,98.539999,-158.0,90.0,bottom
J6,165.3,-106.6,270.0,top
J7,106.5,-101.75,0.0,top
L1,154.0,-129.5,180.0,bottom
L2,154.000001,-112.55,180.0,bottom
L3,154.0,-95.5,180.0,bottom
L4,154.0,-146.5,180.0,bottom
Q1,99.937501,-153.2,180.0,bottom
R10,137.2,-132.3,180.0,bottom
R11,137.2,-130.6,180.0,bottom
R12,146.0,-133.3,90.0,bottom
R13,146.0,-116.3,90.0,bottom
R14,137.2,-117.0,180.0,bottom
R15,137.2,-115.3,180.0,bottom
R16,137.2,-113.6,180.0,bottom
R17,146.000001,-99.3,90.0,bottom
R18,137.200001,-100.0,180.0,bottom
R19,137.200001,-98.3,180.0,bottom
R2,117.0,-117.8,180.0,bottom
R20,137.200001,-96.6,180.0,bottom
R21,146.0,-150.3,90.0,bottom
R22,137.2,-151.0,180.0,bottom
R23,137.2,-149.3,180.0,bottom
R24,137.2,-147.6,180.0,bottom
R25,130.0,-103.000001,0.0,bottom
R26,130.0,-104.800001,180.0,bottom
R27,95.6,-154.2,180.0,bottom
R28,95.6,-152.2,0.0,bottom
R3,104.0,-152.2,0.0,bottom
R4,104.0,-154.2,180.0,bottom
R5,123.800001,-153.2,0.0,bottom
R6,427.249999,-136.2,180.0,bottom
R7,130.2,-153.2,180.0,bottom
R8,99.45,-115.25,180.0,bottom
R9,137.2,-134.0,180.0,bottom
U1,122.8375,-125.6625,0.0,bottom
U2,128.5,-147.699999,180.0,bottom
U3,121.5,-148.4,90.0,bottom
U4,142.0,-132.3,180.0,bottom
U5,142.0,-115.3,180.0,bottom
U6,142.000001,-98.3,180.0,bottom
U7,89.16,-140.0725,0.0,bottom
U8,142.0,-149.3,180.0,bottom
Y1,123.6375,-136.462501,0.0,bottom
